algorithm,k,s,c,# of nodes,runtime,average_degree,average_cardinality,dataset
ks,10,0.1,2,242,0.046834468841552734,126.97933884297521,52.49586776859504,contact
ks,20,0.6,1,109,0.0803070068359375,160.05504587155963,48.41284403669725,contact
ks,40,0.3,1,174,0.0762324333190918,151.00574712643677,52.4367816091954,contact
ks,30,0.2,1,227,0.0447239875793457,132.48017621145374,53.32599118942731,contact
ks,40,0.4,1,161,0.061951398849487305,154.4472049689441,51.16770186335404,contact
ks,20,0.8,1,89,0.08592915534973145,166.8314606741573,45.48314606741573,contact
ks,30,0.2,2,219,0.05257821083068848,134.82191780821918,53.3013698630137,contact
ks,40,0.0,2,242,0.046449899673461914,126.97933884297521,52.49586776859504,contact
ks,20,0.2,1,242,0.03363776206970215,126.97933884297521,52.49586776859504,contact
ks,20,0.7,1,104,0.09134745597839355,160.51923076923077,47.58653846153846,contact
ks,20,0.1,2,242,0.042075157165527344,126.97933884297521,52.49586776859504,contact
ks,10,0.4,2,209,0.04121685028076172,138.83732057416267,54.038277511961724,contact
ks,30,0.1,1,227,0.057141780853271484,132.48017621145374,53.32599118942731,contact
ks,10,0.1,1,242,0.03776907920837402,126.97933884297521,52.49586776859504,contact
ks,10,0.9,1,209,0.05164933204650879,138.83732057416267,54.038277511961724,contact
ks,40,0.0,1,242,0.042410850524902344,126.97933884297521,52.49586776859504,contact
ks,40,0.1,2,174,0.06845474243164062,151.00574712643677,52.4367816091954,contact
ks,10,0.0,2,242,0.044823646545410156,126.97933884297521,52.49586776859504,contact
ks,20,0.5,1,242,0.04226231575012207,126.97933884297521,52.49586776859504,contact
ks,20,0.3,2,104,0.08916234970092773,160.51923076923077,47.58653846153846,contact
ks,30,0.1,2,227,0.051905155181884766,132.48017621145374,53.32599118942731,contact
ks,50,0.0,1,242,0.05031251907348633,126.97933884297521,52.49586776859504,contact
ks,40,0.1,1,174,0.06516098976135254,151.00574712643677,52.4367816091954,contact
ks,40,0.5,1,161,0.07720494270324707,154.4472049689441,51.16770186335404,contact
ks,30,0.0,2,242,0.042635202407836914,126.97933884297521,52.49586776859504,contact
ks,10,0.3,1,242,0.04123234748840332,126.97933884297521,52.49586776859504,contact
ks,20,0.4,1,242,0.041977882385253906,126.97933884297521,52.49586776859504,contact
ks,10,0.3,2,237,0.0418088436126709,128.9493670886076,52.89451476793249,contact
ks,30,0.0,1,242,0.041637420654296875,126.97933884297521,52.49586776859504,contact
ks,30,0.5,1,219,0.04109549522399902,134.82191780821918,53.3013698630137,contact
ks,10,0.0,1,242,0.04780435562133789,126.97933884297521,52.49586776859504,contact
ks,20,0.3,1,242,0.039557456970214844,126.97933884297521,52.49586776859504,contact
ks,40,0.2,2,161,0.06392979621887207,154.4472049689441,51.16770186335404,contact
ks,20,0.2,2,242,0.037261247634887695,126.97933884297521,52.49586776859504,contact
ks,10,0.7,1,237,0.037964582443237305,128.9493670886076,52.89451476793249,contact
ks,50,0.0,2,242,0.04450178146362305,126.97933884297521,52.49586776859504,contact
ks,20,0.1,1,242,0.03556323051452637,126.97933884297521,52.49586776859504,contact
ks,10,0.4,1,242,0.03471994400024414,126.97933884297521,52.49586776859504,contact
ks,10,0.6,2,25,0.1066734790802002,167.44,32.0,contact
ks,10,0.2,1,242,0.03345322608947754,126.97933884297521,52.49586776859504,contact
ks,10,0.5,1,242,0.04734635353088379,126.97933884297521,52.49586776859504,contact
ks,10,0.6,1,237,0.03299760818481445,128.9493670886076,52.89451476793249,contact
ks,20,0.0,1,242,0.03925442695617676,126.97933884297521,52.49586776859504,contact
ks,30,0.3,1,227,0.0456390380859375,132.48017621145374,53.32599118942731,contact
ks,10,0.2,2,242,0.03932380676269531,126.97933884297521,52.49586776859504,contact
ks,20,0.0,2,242,0.04790186882019043,126.97933884297521,52.49586776859504,contact
ks,10,0.5,2,123,0.07255816459655762,153.9349593495935,44.8130081300813,contact
ks,40,0.2,1,175,0.06647586822509766,150.6742857142857,52.63428571428572,contact
ks,10,0.8,1,237,0.031986236572265625,128.9493670886076,52.89451476793249,contact
ks,30,0.4,1,219,0.062452077865600586,134.82191780821918,53.3013698630137,contact
